,uf,media_medicos,std_medicos,media_leitos,std_leitos,media_dengue_cem_mil_hab,std_dengue_cem_mil_hab,media_obitos_hemorragica,std_obitos_hemorragica,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9
0,AC,0.6608,0.29057299714,2.5212,0.33086150174,812.20952381,1374.32814783,0.0468181818182,0.12922429241,0,1,3,0,2,2,5,6
1,AL,1.0364,0.144536039335,2.3568,0.564643840546,246.396,330.056437699,0.0236363636364,0.0340231650141,1,2,1,3,5,3,0,0
2,AM,0.7548,0.266162857414,1.6296,0.0727713313515,241.39047619,398.81328326,0.0190909090909,0.0367629589603,0,2,1,3,0,3,0,0
3,AP,0.6096,0.286013985672,1.7676,0.426548942092,260.452380952,235.958862133,0.0309090909091,0.0805876683766,1,0,1,3,5,1,2,1
4,BA,0.9048,0.198811468482,2.1384,0.0782453406494,237.854545455,191.403323172,0.0445454545455,0.0535169997671,1,0,1,3,5,1,2,1
5,CE,0.8492,0.188986772024,2.26,0.380284980859,283.924,219.246638667,0.0918181818182,0.119069262102,1,0,1,3,5,1,2,1
6,DF,3.0784,0.683469579913,2.4056,0.602668233774,105.472727273,158.643569293,0.201818181818,0.322514471637,1,0,2,1,1,5,6,2
7,ES,1.5944,0.353141614653,2.5892,0.702044158155,517.140909091,476.094845152,0.0481818181818,0.0758843960142,0,2,0,4,4,0,1,4
8,GO,1.2364,0.318562918955,3.2872,0.920473247846,458.268181818,576.295214845,0.075,0.0897483253591,0,2,0,4,4,0,1,4
9,MA,0.5036,0.135396947282,2.6148,0.645633538988,91.4636363636,61.036230813,0.0640909090909,0.101214486584,1,0,2,1,1,6,7,2
10,MG,1.4984,0.347127258125,2.6428,0.507645873945,266.179166667,455.915018759,0.174545454545,0.232516815014,0,2,1,3,0,3,0,0
11,MS,1.2236,0.320531849692,3.1188,0.643663473149,552.28,896.491103321,0.025,0.0495455538344,0,1,3,2,3,4,4,3
12,MT,0.8668,0.301367992107,2.7548,0.547518036233,420.47826087,452.956830129,0.101818181818,0.165921276905,0,2,0,4,4,0,3,5
13,PA,0.6636,0.138470213403,2.0892,0.325011794658,142.033333333,95.8060245148,0.110909090909,0.131977959592,1,0,2,1,1,5,6,2
14,PB,1.052,0.209741904889,2.8472,0.477576520919,371.922727273,455.346573326,0.0313636363636,0.0513897761321,0,2,0,4,0,0,3,5
15,PE,1.1976,0.236383868598,2.5984,0.276792340934,267.881818182,279.401148098,0.0622727272727,0.0908128278217,1,2,1,3,5,1,2,1
16,PI,0.7068,0.212636622747,2.6912,0.332381808568,204.786363636,138.471373337,0.0618181818182,0.101213417313,1,0,2,1,1,5,6,1
17,PR,1.3924,0.347206470754,3.0136,0.598692185796,103.05,156.517903281,0.151363636364,0.298333393794,1,0,2,1,1,5,6,2
18,RJ,3.0496,0.391125299616,3.4664,1.08154549912,371.08,500.279253684,0.0518181818182,0.0692570342748,0,2,0,4,0,0,3,5
19,RN,1.0624,0.234027776129,2.6128,0.521020792931,501.831818182,363.243502726,0.0495454545455,0.0706754670662,0,2,0,4,4,0,3,4
20,RO,0.6084,0.366750142013,2.4828,0.558073471865,286.133333333,372.581865277,0.0654545454545,0.108791074246,0,2,1,3,0,3,0,0
21,RR,0.826,0.46648508372,2.3024,0.73694911629,620.485714286,643.663822415,0.0813636363636,0.226595831814,0,1,0,2,3,4,4,3
22,RS,1.8996,0.318923710836,3.2008,0.518088795478,2.67727272727,7.15181840468,0.0,0.0,1,0,2,1,1,6,7,7
23,SC,1.33,0.435095774897,2.9344,0.530165697369,1.52272727273,1.56385720277,0.0,0.0,1,0,2,1,1,6,7,7
24,SE,1.022,0.267503894053,2.1608,0.615371974229,286.290909091,405.872232898,0.0272727272727,0.106600358178,0,2,1,3,0,3,0,0
25,SP,2.0912,0.372584665993,2.846,1.05563566947,109.544,166.045613914,0.0636363636364,0.0742932064154,1,0,2,1,1,5,6,2
26,TO,0.8876,0.316850122298,2.474,0.466761895046,374.727272727,279.940645379,0.0736363636364,0.120378191924,1,2,1,3,5,1,2,8
